,NOME_PRODUTO,PRINCIPIO_ATIVO,CLASSE_TERAPEUTICA,CATEGORIA_REGULATORIA
53,Acetilcisteína,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,GENÉRICO
54,Acetilcisteína,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,GENÉRICO
55,Acetilcisteína,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,GENÉRICO
56,Acetilcisteína,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,GENÉRICO
57,Acetonida De Triancinolona,ACETONIDA DE TRIANCINOLONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,GENÉRICO
58,Acetonido De Triancinolona+Sulfato De Neomicina+Gramicidina+Nistatina,GRAMICIDINA +  NISTATINA +  SULFATO DE NEOMICINA +  TRIANCINOLONA ACETONIDA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,GENÉRICO
59,Aceviton,ÁCIDO ASCÓRBICO,VITAMINAS,ESPECÍFICO
60,Acezo,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,SIMILAR
61,Acfol,ÁCIDO FÓLICO,ANTIANEMICOS,ESPECÍFICO
62,Acheflan,CORDIA VERBENACEA DC.,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
63,Aciclomax,CLORIDRATO DE VALACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),SIMILAR
64,Aciclomed,ACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),SIMILAR
65,Aciclor,ACICLOVIR,ANTIVIROTICOS,SIMILAR
66,Aciclor,ACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),SIMILAR
67,Aciclovir,,ANTIVIROTICOS,SIMILAR
68,Aciclovir,ACICLOVIR,ANTIVIROTICOS,GENÉRICO
69,Aciclovir,ACICLOVIR,ANTIVIROTICOS,GENÉRICO
70,Aciclovir,ACICLOVIR,ANTIVIROTICOS,GENÉRICO
71,Aciclovir,ACICLOVIR,ANTIVIROTICOS,GENÉRICO
72,Aciclovir,ACICLOVIR,ANTIVIROTICOS,GENÉRICO
73,Aciclovir,ACICLOVIR,ANTIVIROTICOS,GENÉRICO
74,Aciclovir,ACICLOVIR,ANTIVIROTICOS,GENÉRICO
75,Aciclovir,ACICLOVIR +  ACICLOVIR SÓDICO,ANTIVIROTICOS,GENÉRICO
76,Aciclovir,ACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),GENÉRICO
77,Aciclovir,ACICLOVIR +  ACICLOVIR SÓDICO,ANTIVIROTICOS,SIMILAR
78,Aciclovir,ACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),GENÉRICO
79,Aciclovir,ACICLOVIR,ANTIVIROTICOS,GENÉRICO
80,Acido Acetilsalicilico,ÁCIDO ACETILSALICÍLICO,ANALGESICOS NAO NARCOTICOS,GENÉRICO
81,Acido Mefenamico,ÁCIDO MEFENÂMICO,ANTINFLAMATORIOS ANTIREUMATICOS,GENÉRICO
82,Acido Tranexamico,ÁCIDO TRANEXÂMICO,ANTIFIBRINOLITICOS,GENÉRICO
83,Acido Tranexamico,ÁCIDO TRANEXÂMICO,ANTIFIBRINOLITICOS,GENÉRICO
84,Acido Zoledronico,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
85,Acido Zoledronico,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
86,Acido Zoledronico,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
87,Acivirax,ACICLOVIR,ANTIVIROTICOS,SIMILAR
88,Aclaf,AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
89,Aclaf,AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
90,Aclasta,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,NOVO
91,Acnase,ENXOFRE +  PERÓXIDO DE BENZOÍLA,PRODUTOS ANTI-ACNE,SIMILAR
92,Acnil,ISOTRETINOÍNA,PRODUTOS ANTI-ACNE,SIMILAR
93,Acnova,ISOTRETINOÍNA,PRODUTOS ANTI-ACNE,SIMILAR
94,Acog,RIVAROXABANA,,SIMILAR
95,Actifedrin,CLORIDRATO DE PSEUDOEFEDRINA +  CLORIDRATO DE TRIPROLIDINA,ANTI-HISTAMINICOS SISTEMICOS,NOVO
96,Actilyse,ALTEPLASE,ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE,NOVO
97,Active Plus,SENNA ALEXANDRINA MILL.,,FITOTERÁPICO
98,Actonel,RISEDRONATO SÓDICO,SUPRESSORES DA REABSORCAO OSSEA,NOVO
99,Acu Fresh,CARMELOSE SÓDICA,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,ESPECÍFICO
100,Acu Fresh G,CARMELOSE SÓDICA +  GLICEROL,EMOLIENTES E PROTETORES OFTALMICOS,ESPECÍFICO
101,Acular,TROMETAMOL CETOROLACO ,ANTINFLAMATORIOS,NOVO
102,Ad Furp,COLECALCIFEROL +  PALMITATO DE RETINOL +  ÓXIDO DE ZINCO,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,ESPECÍFICO
103,Ad-Muc,MATRICARIA RECUTITA L.,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
104,Ad-Til,ACETATO DE RETINOL +  COLECALCIFEROL,POLIVITAMINICOS SEM MINERAIS,ESPECÍFICO
105,Ad-Vitam,ACETATO DE RETINOL +  COLECALCIFEROL,POLIVITAMINICOS SEM MINERAIS,ESPECÍFICO
106,Adacel,AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3 +  HEMAGLUTININA FILAMENTOSA +  PERTACTINA +  TOXÓIDE TETÂNICO +  TOXÓIDE DIFTÉRICO +  TOXÓIDE PERTUSSIS,VACINAS,BIOLÓGICO
107,Adacne,ADAPALENO,PRODUTOS ANTI-ACNE,SIMILAR
108,Adacne Clin,ADAPALENO +  FOSFATO DE CLINDAMICINA,PRODUTOS ANTI-ACNE,NOVO
109,Adalat,NIFEDIPINO,ANTIANGINOSOS E VASODILATADORES,NOVO
110,Adapaleno,ADAPALENO,PRODUTOS ANTI-ACNE,GENÉRICO
111,Adaptis Gel,CARBÔMER 940,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,ESPECÍFICO
112,Adcetris,BRENTUXIMABE VEDOTINA,ANTINEOPLASICO,BIOLÓGICO
113,Addaven,CLORETO CRÔMICO HEXAIDRATADO +  CLORETO CÚPRICO +  CLORETO DE ZINCO +  CLORETO FÉRRICO +  FLUORETO DE SÓDIO +  IODETO DE POTÁSSIO +  SELENITO DE SÓDIO +  DICLORETO DE MANGANÊS TETRAIDRATADO +  MOLIBDATO DE SÓDIO DIIDRATADO,NUTRIENTES PARENTERAIS,ESPECÍFICO
114,Addera D3,COLECALCIFEROL,ANALOGO SINTETICO DA VITAMINA D,ESPECÍFICO
115,Adeforte,ACETATO DE RACEALFATOCOFEROL +  COLECALCIFEROL +  PALMITATO DE RETINOL,POLIVITAMINICOS SEM MINERAIS,ESPECÍFICO
116,Adenocard,ADENOSINA,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,SIMILAR
117,Adenon,BARYTA CARBONICA +  BERBERIS VULGARIS L. +  CALCAREA CARBONICA +  MERCURIUS SULPHURATUS RUBER,MEDICAMENTOS DINAMIZADOS COMPOSTOS,DINAMIZADO
118,Adenosina,ADENOSINA,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,GENÉRICO
119,Adiloz,LINEZOLIDA,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
120,Adinos,DESONIDA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,NOVO
121,Adinos Gen,DESONIDA +  SULFATO DE GENTAMICINA,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,NOVO
122,Adipept,PANTOPRAZOL,ANTIACIDOS E ANTIULCEROSOS,SIMILAR
123,Adlyv,IBUPROFENO,ANALGESICOS NAO NARCOTICOS,SIMILAR
124,Admelog,INSULINA LISPRO,ANTIDIABETICOS,BIOLÓGICO
125,Adoless,ETINILESTRADIOL +  GESTODENO,ANTICONCEPCIONAIS,SIMILAR
126,Adorlan,CLORIDRATO DE TRAMADOL +  DICLOFENACO SÓDICO,ANALGESICOS NARCOTICOS,NOVO
127,Adren,EPINEFRINA,MEDICAMENTOS C/ ACAO NO MIOCARDIO,SIMILAR
128,Advantan,ACEPONATO DE METILPREDNISOLONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,NOVO
129,Advate,ALFAOCTOCOGUE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,BIOLÓGICO
130,Advil,IBUPROFENO,ANALGESICOS NAO NARCOTICOS,SIMILAR
131,Adynovate,ALFARURIOCTOCOGUE PEGOL,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,BIOLÓGICO
132,Aerodini,SULFATO DE SALBUTAMOL,BRONCODILATADORES,SIMILAR
133,Aerodivent,BROMETO DE IPRATRÓPIO,BRONCODILATADORES,SIMILAR
134,Aerofrin,SULFATO DE SALBUTAMOL MICRONIZADO,BRONCODILATADORES,SIMILAR
135,Aerolin,SOLUCAO DE SALBUTAMOL +  SULFATO DE SALBUTAMOL,BRONCODILATADORES,
136,Aerotrat,SULFATO DE SALBUTAMOL,BRONCODILATADORES,SIMILAR
137,Afinitor,EVEROLIMO,ANTINEOPLASICO,NOVO
138,Afolic,ÁCIDO FÓLICO,ANTIANEMICOS SIMPLES,ESPECÍFICO
139,Afolic Infantil,ÁCIDO FÓLICO,ANTIANEMICOS SIMPLES,ESPECÍFICO
140,Afopic,ÁCIDO FÓLICO,ANTIANEMICOS,ESPECÍFICO
141,Afrat,IBANDRONATO DE SÓDIO,SUPRESSORES DA REABSORCAO OSSEA,SIMILAR
142,Afrezza,INSULINA HUMANA,ANTIDIABETICOS,BIOLÓGICO
143,Afrin,CLORIDRATO DE OXIMETAZOLINA,DESCONGESTIONANTES NASAIS TOPICOS,NOVO
144,Afstyla,ALFALONOCTOCOGUE,OUTROS PRODUTOS ANTI-HEMORRAGICOS,BIOLÓGICO
145,Aftine,CLORIDRATO DE PROCAÍNA +  MENTOL +  SULFATO DE NEOMICINA +  TARTARATO DE BISMUTO E SÓDIO,PRODUTOS PARA OROFARINGE,SIMILAR
146,Agarol,AGAR-AGAR +  PICOSSULFATO DE SÓDIO +  ÓLEO MINERAL LEVE,LAXANTES IRRITANTES OU ESTIMULANTES,
147,Agiolax,PLANTAGO OVATA FORSSK. +  SENNA ALEXANDRINA MILL.,LAXANTES INCREMENTADORES DO BOLO INTESTINAL,FITOTERÁPICO
148,Aglitil,CLORIDRATO DE PIOGLITAZONA,ANTIDIABETICOS,SIMILAR
149,Aglucose,ACARBOSE,ANTIDIABETICOS,SIMILAR
150,Agoxom,AGOMELATINA,ANTIDEPRESSIVOS,SIMILAR
151,Agrastat,CLORIDRATO DE TIROFIBANA,ANTIAGREGANTE PLAQUETARIO,NOVO
152,Agrylin,CLORIDRATO DE ANAGRELIDA,OUTROS AGENTES ANTINEOPLÁSICOS,NOVO
153,Agua Inglesa Catarinense,CINCHONA CALISAYA WEDD.,FITOTERAPICO COMPOSTO,FITOTERÁPICO
154,Agua Para Injetaveis,ÁGUA PARA INJETÁVEIS,DILUENTES E VEICULOS DE MEDICAMENTOS,ESPECÍFICO
155,Agua Para Injeçao,ÁGUA PARA INJEÇÃO,DILUENTES E VEICULOS DE MEDICAMENTOS,ESPECÍFICO
156,Agua Para Injeção,ÁGUA ESTÉRIL PARA INJEÇÃO +  ÁGUA PARA INJEÇÃO,DILUENTES E VEICULOS DE MEDICAMENTOS,ESPECÍFICO
157,Agud,FOSFATO DE CODEÍNA +  PARACETAMOL,ANALGESICOS NARCOTICOS,GENÉRICO
158,Ah-Zul,CITRATO DE SILDENAFILA,VASODILATADORES,SIMILAR
159,Ailuk,DIPROPIONATO DE BECLOMETASONA,ANTIASMATICOS,SIMILAR
160,Aipri,ARIPIPRAZOL,ANTIPSICOTICOS,GENÉRICO
161,Aires,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,SIMILAR
162,Aires,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,SIMILAR
163,Aixa,ACETATO DE CLORMADINONA +  ETINILESTRADIOL,ANTICONCEPCIONAIS,SIMILAR
164,Ajovy,FREMANEZUMABE,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,BIOLÓGICO
165,Akalmese,PASSIFLORA INCARNATA L.,ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES,FITOTERÁPICO
166,Akssus,PACLITAXEL,ANTINEOPLASICO,SIMILAR
167,Akynzeo,CLORIDRATO DE PALONOSETRONA +  NETUPITANTO,ANTIEMÉTICOS E ANTINAUSEANTES,NOVO
168,Alandre,DIENOGESTE,PROGESTAGENOS SIMPLES,SIMILAR
169,Albel,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,SIMILAR
170,Albel,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,SIMILAR
171,Albendazol,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
172,Albendazol,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
173,Albendazol,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
174,Albendazol,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
175,Albendazol,ALBENDAZOL,ALBENDAZOL + ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
176,Albendazol,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
177,Albendazol,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
178,Albendazol,,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
179,Albendazol,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
180,Albendazol 40 Mg/Ml Suspensão Oral,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,GENÉRICO
181,Albentel,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,SIMILAR
182,Albentel,ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,SIMILAR
183,Albistin,NISTATINA,ANTIMICOTICO,SIMILAR
184,Albocresil,POLICRESULENO +  POLICRESULENO A 36%,PRODUTOS GINECOLOGICOS ANTINFECCIOSOS TOPICOS SIMPLES,NOVO
185,Albumax,ALBUMINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,SIMILAR
186,Albumina Humana,,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,SIMILAR
187,Albumina Humana,,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,SIMILAR
188,Albumina Humana Grifols,ALBUMINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,NOVO
189,Albumina Humana Hemobrás,ALBUMINA HUMANA,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO",NOVO
190,Albumina Sérica Humana Normal,ALBUMINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,BIOLÓGICO
191,Albunex,,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,NOVO
192,Alcachofra  Herbarium,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
193,Alcachofra Aspen Pharma,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS,FITOTERÁPICO
194,Alcachofra Multilab,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS,FITOTERÁPICO
195,Alcachofra Natulab,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
196,Alcachofra Vidora,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS,FITOTERÁPICO
197,Alcachofra Vitamed,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS,FITOTERÁPICO
198,Alcachofrax,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS,FITOTERÁPICO
199,Alcagest,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
200,Alcaherb,CYNARA SCOLYMUS L.,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,FITOTERÁPICO
201,Alcytam,BROMIDRATO DE CITALOPRAM,ANTIDEPRESSIVOS,SIMILAR
202,Aldactone,ESPIRONOLACTONA,DIURETICOS,NOVO
203,Aldazida,ESPIRONOLACTONA +  HIDROCLOROTIAZIDA,ANTI-HIPERTENSIVOS,NOVO
204,Aldijet,ALGESTONA ACETOFENIDA +  ENANTATO DE ESTRADIOL,ANTICONCEPCIONAIS,SIMILAR
205,Aldomet,METILDOPA,ANTI-HIPERTENSIVOS SIMPLES,NOVO
206,Aldosterin,ESPIRINOLACTONA +  ESPIRONOLACTONA,ANTI-HIPERTENSIVOS,SIMILAR
207,Aldurazyme,LARONIDASE,ENZIMA PARA REPOSIÇAO,BIOLÓGICO
208,Alektos,BILASTINA,ANTI-HISTAMINICOS SISTEMICOS,NOVO
209,Alektos Ped,BILASTINA,ANTI-HISTAMINICOS SISTEMICOS,NOVO
210,Alendil,ALENDRONATO SÓDICO TRIHIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,SIMILAR
211,Alendil Cálcio D,CARBONATO DE CÁLCIO +  COLECALCIFEROL +  ALENDRONATO DE SÓDIO TRI-HIDRATADO,VITAMINAS E SUPLEMENTOS MINERAIS,NOVO
212,Alendronato De Sodio,ALENDRONATO DE SÓDIO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
213,Alendronato De Sodio,ALENDRONATO DE SÓDIO TRI-HIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
214,Alendronato De Sodio,ALENDRONATO DE SÓDIO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
215,Alendronato De Sódio,ALENDRONATO DE SÓDIO TRI-HIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
216,Alendronato De Sódio,ALENDRONATO DE SÓDIO TRI-HIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
217,Alendronato De Sódio,ALENDRONATO DE SÓDIO TRI-HIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
218,Alendronato De Sódio,ALENDRONATO DE SÓDIO TRI-HIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
219,Alendronato De Sódio,ALENDRONATO DE SÓDIO TRI-HIDRATADO,SUPRESSORES DA REABSORCAO OSSEA,GENÉRICO
220,Alenthus Xr,CLORIDRATO DE VENLAFAXINA,ANTIDEPRESSIVOS,SIMILAR
221,Aleradina,DESLORATADINA,ANTI-HISTAMINICOS SISTEMICOS,SIMILAR
222,Alerfin,DIPROPIONATO DE BECLOMETASONA,CORTICOSTEROIDES TOPICOS,SIMILAR
223,Alergaliv,LORATADINA,ANTIALERGICOS,SIMILAR
224,Alergcortem,PREDNISONA,GLICOCORTICOIDES SISTEMICOS,SIMILAR
225,Alergidex,BETAMETASONA +  MALEATO DE DEXCLORFENIRAMINA,ANTI-HISTAMINICOS SISTEMICOS,SIMILAR
226,Alergomine,MALEATO DE DEXCLORFENIRAMINA,ANTIALERGICOS,SIMILAR
227,Alevo,LEVOFLOXACINO HEMIIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
228,Alevo,LEVOFLOXACINO HEMIIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
229,Alfaepoetina,ALFAEPOETINA,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,BIOLÓGICO
